drug_name,dosage_name,is_specialty
Adderall,Adderall TAB 20MG,False
Adderall,Adderall TAB 5MG,False
Adderall XR,Adderall XR CAP 30MG,False
Adderall XR,Adderall XR CAP 20MG,False
Adderall XR,Adderall XR CAP 10MG,False
Adderall XR,Adderall XR CAP 25MG,False
Adderall XR,Adderall XR CAP 15MG,False
Adderall XR,Adderall XR CAP 5MG,False
Addyi,Addyi TAB 100MG,False
Adefovir Dipivoxil,Adefovir Dipivoxil TAB 10MG,False
Adipex-P,Adipex-P TAB 37.5MG,False
Adlarity,Adlarity PTCH 5MG/DAY,False
Adlarity,Adlarity PTCH 10MG/DAY,False
Admelog,Admelog SOLN 100UNIT/ML,False
Admelog,Admelog SOLN 100UNIT/ML,False
Adrenalin,Adrenalin SOLN 1MG/ML,False
Advair Diskus,Advair Diskus AERO 500-50MCG,False
Advair Diskus,Advair Diskus AERO 250-50MCG/ACT,False
Advair Diskus,Advair Diskus AERO 100-50MCG/ACT,False
Advair Diskus,Advair Diskus AERO 500-50MCG/ACT,False
Advair Diskus,Advair Diskus AERO 250-50MCG,False
Advair Diskus,Advair Diskus AERO 100-50MCG,False
Advair HFA,Advair HFA AERO 115-21MCG,False
Advair HFA,Advair HFA AERO 230-21MCG,False
Advair HFA,Advair HFA AERO 45-21MCG,False
Adzenys XR-ODT,Adzenys XR-ODT TAB 18.8MG,False
Adzenys XR-ODT,Adzenys XR-ODT TAB 12.5MG,False
Aemcolo,Aemcolo TAB 194MG,False
Aerospan,Aerospan AERO 80MCG,False
Afinitor,Afinitor TAB 5MG,False
Afinitor,Afinitor TAB 7.5MG,False
Afrezza,Afrezza POWD 90 x 8 UNIT &90x12 UNIT,False
Afrezza,Afrezza POWD 8UNIT,False
Afrezza,Afrezza POWD 4UNIT,False
Afrezza,Afrezza POWD 90 x 4 UNIT &90x8 UNIT,False
Afrezza,Afrezza POWD 8 (60)& 12 (30)UNIT,False
Afrezza,Afrezza POWD 4 & 8 & 12UNIT,False
Afrezza,Afrezza POWD 12UNIT,False
Afrezza,Afrezza POWD 4 (60) & 8 (30)UNIT,False
Aggrenox,Aggrenox CAP 25-200MG,False
Aimovig (140 Mg Dose),Aimovig (140 Mg Dose) SOLN AUTO-INJ 70MG/ML,False
Airduo Respiclick 113/14,Airduo Respiclick 113/14 AERO 113-14MCG,False
Airduo Respiclick 232/14,Airduo Respiclick 232/14 AERO 232-14MCG,False
Airsupra,Airsupra AERO 90-80MCG/ACT,False
Aklief,Aklief CREAM 0.005%,False
Albendazole,Albendazole TAB 200MG,False
Albuterol Sulfate,Albuterol Sulfate NEBU (5 MG/ML)0.5%,False
Albuterol Sulfate,Albuterol Sulfate NEBU (2.5 MG/3ML)0.083%,False
Albuterol Sulfate,Albuterol Sulfate NEBU 1.25MG/3ML,False
Albuterol Sulfate,Albuterol Sulfate TAB 4MG,False
Albuterol Sulfate,Albuterol Sulfate NEBU 2.5MG/0.5ML,False
Albuterol Sulfate,Albuterol Sulfate SYRP 2MG/5ML,False
Albuterol Sulfate,Albuterol Sulfate NEBU 0.63MG/3ML,False
Albuterol Sulfate,Albuterol Sulfate TAB 2MG,False
Albuterol Sulfate,Albuterol Sulfate ER TAB 8MG,False
Albuterol Sulfate,Albuterol Sulfate ER TAB 4MG,False
Albuterol Sulfate HFA,Albuterol Sulfate HFA AERO 90MCG (Similar to ProAir),False
Albuterol Sulfate HFA,Albuterol Sulfate HFA AERO 90MCG (Similar to Proventil),False
Albuterol Sulfate HFA,Albuterol Sulfate HFA AERO 90MCG (Similar to Ventolin),False
Albuterol Sulfate HFA,Albuterol Sulfate HFA AERO 108 (90 Base)MCG,False
Albuterol Sulfate HFA,Albuterol Sulfate HFA AERO 108 (90 Base)MCG,False
Albuterol Sulfate HFA,Albuterol Sulfate HFA AERO 108 (90 Base)MCG,False
Alclometasone Dipropionate,Alclometasone Dipropionate OINT 0.05%,False
Alclometasone Dipropionate,Alclometasone Dipropionate CREAM 0.05%,False
Aldactone,Aldactone TAB 50MG,False
Aldactone,Aldactone TAB 25MG,False
Aldactone,Aldactone TAB 100MG,False
Alendronic Acid,Alendronic Acid TAB 70MG,False
Alendronic Acid,Alendronic Acid SOLN 70MG/75ML,False
Alendronic Acid,Alendronic Acid TAB 40MG,False
Alendronic Acid,Alendronic Acid TAB 35MG,False
Alendronic Acid,Alendronic Acid TAB 10MG,False
Alendronic Acid,Alendronic Acid TAB 5MG,False
Alfuzosin HCL,Alfuzosin HCL ER TAB 10MG,False
Alimta,Alimta SOLN 500MG,False
Alinia,Alinia SUSP 100MG/5ML,False
Aliskiren Fumarate,Aliskiren Fumarate TAB 150MG,False
Aliskiren Fumarate,Aliskiren Fumarate TAB 300MG,False
Alkindi Sprinkle,Alkindi Sprinkle CAP 0.5MG,False
Allopurinol,Allopurinol TAB 100MG,False
Allopurinol,Allopurinol TAB 300MG,False
Allopurinol,Allopurinol TAB 200MG,False
Allopurinol Sodium,Allopurinol Sodium SOLN 500MG,False
Almotriptan Malate,Almotriptan Malate TAB 12.5MG,False
Almotriptan Malate,Almotriptan Malate TAB 6.25MG,False
Alogliptin Benzoate,Alogliptin Benzoate TAB 25MG,False
Alogliptin Benzoate,Alogliptin Benzoate TAB 12.5MG,False
Alogliptin Benzoate,Alogliptin Benzoate TAB 6.25MG,False
Alogliptin-Metformin HCL,Alogliptin-Metformin HCL TAB 12.5-1000MG,False
Alogliptin-Metformin HCL,Alogliptin-Metformin HCL TAB 12.5-500MG,False
Alogliptin-Pioglitazone,Alogliptin-Pioglitazone TAB 12.5-15MG,False
Alogliptin-Pioglitazone,Alogliptin-Pioglitazone TAB 25-45MG,False
Alogliptin-Pioglitazone,Alogliptin-Pioglitazone TAB 25-30MG,False
Alogliptin-Pioglitazone,Alogliptin-Pioglitazone TAB 12.5-45MG,False
Alogliptin-Pioglitazone,Alogliptin-Pioglitazone TAB 12.5-30MG,False
Alogliptin-Pioglitazone,Alogliptin-Pioglitazone TAB 25-15MG,False
Aloprim,Aloprim SOLN 500MG,False
Alora,Alora PTCH 0.05MG/24HR,False
Alosetron HCL,Alosetron HCL TAB 0.5MG,False
Alosetron HCL,Alosetron HCL TAB 1MG,False
Aloxi,Aloxi SOLN 0.25MG/5ML,False
Alphagan P,Alphagan P SOLN 0.1%,False
Alphagan P,Alphagan P SOLN 0.15%,False
Alprazolam,Alprazolam TAB 0.25MG,False
Alprazolam,Alprazolam ER TAB 0.5MG,False
Alprazolam,Alprazolam TAB 0.5MG,False
Alprazolam,Alprazolam ER TAB 2MG,False
Alprazolam,Alprazolam CONC 1MG/ML,False
Alprazolam,Alprazolam ER TAB 1MG,False
Alprazolam,Alprazolam TAB 1MG,False
Alprazolam,Alprazolam TAB 2MG,False
Alprazolam,Alprazolam ER TAB 3MG,False
Alprazolam,Alprazolam TAB 0.25MG ODT,False
Alprazolam,Alprazolam TAB 1MG ODT,False
Alprazolam,Alprazolam TAB 0.5MG ODT,False
Alprazolam,Alprazolam TAB 2MG ODT,False
Alrex,Alrex SOLN 0.2%,False
Altabax,Altabax OINT 1%,False
Altace,Altace CAP 10MG,False
Altace,Altace CAP 2.5MG,False
Altavera,Altavera TAB 0.15-30MG-MCG,False
Altreno,Altreno LOTN 0.05%,False
Alunbrig,Alunbrig TAB 180MG,False
Alvaiz,Alvaiz TAB 36MG,False
Alvesco,Alvesco AERO 160MCG,False
